NAME,G,CAP HIT
187. William Eklund,16,0.863333
188. Yegor Chinakhov,16,0.8
189. Luke Evangelista,16,0.7975
190. Drew O'Connor,16,0.925
191. Rickard Rakell,15,5.0
192. Mikael Backlund,15,5.35
193. Drew Doughty,15,11.0
194. Colton Sissons,15,2.857143
195. Elias Lindholm,15,4.85
196. Lars Eller,15,2.45
197. Sonny Milano,15,1.9
198. Alex Newhook,15,2.9
199. Thomas Harley,15,0.863333
200. Simon Holmström,15,0.863333
